CREATE TABLE `leads` (
  `Lead` varchar(4) DEFAULT NULL,
  `Qualifying Opportunity` varchar(22) DEFAULT NULL,
  `Last Name` varchar(13) DEFAULT NULL,
  `Company Name` varchar(35) DEFAULT NULL,
  `Created On` varchar(14) DEFAULT NULL,
  `Email Address` varchar(35) DEFAULT NULL,
  `Industry` varchar(19) DEFAULT NULL,
  `Website` varchar(29) DEFAULT NULL,
  `Owning User` varchar(11) DEFAULT NULL,
  `Lead Source` varchar(17) DEFAULT NULL,
  `Status Reason` varchar(20) DEFAULT NULL,
  `Mobile` varchar(12) DEFAULT NULL
) 


INSERT INTO `leads` (`Lead`, `Qualifying Opportunity`, `Last Name`, `Company Name`, `Created On`, `Email Address`, `Industry`, `Website`, `Owning User`, `Lead Source`, `Status Reason`, `Mobile`) VALUES
('4577', '26841', 'Miller', 'Erlebacher\'s', '29/4/21 00:03', 'HortenciaWMiller@gustr.com', 'Communications', 'CalgaryDermatologist.com', '1001', 'Partner', 'Lost Lead', '209-345-5165'),
('4578', '26842', 'Fredericksen', 'Country Club Markets', '29/4/21 00:03', 'VictorAFredericksen@jourrapide.com', 'IT Services', 'BetaRoom.com', '1005', 'Partner', 'Contacted', '410-241-7129'),
('4579', '26843', 'Paige', 'Asian Answers', '29/4/21 00:03', 'CharlesSPaige@gustr.com', 'Manufacturing', 'SharperDiscounts.com', '1007', 'Sales Mail Alias', 'Not Contacted', '775-522-5030'),
('4580', '26844', 'Estes', 'National Tea', '29/4/21 00:03', 'HollyREstes@dayrep.com', 'Service Provider', 'BrandingInnovations.com', '1009', 'Trade Show', 'Contact in Future', '775-317-8837'),
('4563', '26827', 'Denson', 'Maurice The Pants Man', '29/4/21 00:03', 'GaryLDenson@cuvox.de', 'Education', 'CameraUpdate.com', '1011', 'Employee Referral', 'Contacted', '660-485-0224'),
('4582', '26846', 'Johnston', 'Target Source', '29/4/21 00:03', 'CrystalAJohnston@armyspy.com', 'Pharma', 'JournalGame.com', '1009', 'Advertisement', 'Junk Lead', '601-300-5161'),
('4583', '26847', 'Boone', 'Complete Tech', '29/4/21 00:03', 'JohnABoone@rhyta.com', 'Consulting', 'NowWeather.com', '1002', 'Web Research', 'Attempted to Contact', '432-301-6281'),
('3314', '25578', 'Shaw', 'Pay \'N Pak', '23/4/21 00:03', 'GaryDShaw@teleworm.us', 'Communications', 'LittleRockVet.com', '1001', 'Web Research', 'Not Contacted', '505-328-3273'),
('2047', '24311', 'Cummings', 'Multicerv', '21/4/21 00:03', 'StephanieBCummings@armyspy.com', 'Pharma', 'NoMoratorium.com', '1004', 'Cold Call', 'Lost Lead', '508-247-6232'),
('2050', '24314', 'Lott', 'BASCO', '18/4/21 00:03', 'DebraPLott@cuvox.de', 'Financial Services', 'GhostPrivacy.com', '1009', 'Public Relations', 'Contact in Future', '321-327-2998'),
('3997', '26261', 'Vang', 'Big A Auto Parts', '18/4/21 00:02', 'TylerBVang@einrot.com', 'Pharma', 'TennisMemories.com', '1008', 'Trade Show', 'Contacted', '423-892-0814'),
('3992', '26256', 'Shaw', 'W. Bell & Co.', '15/4/21 00:02', 'MarieWShaw@superrito.com', 'Education', 'SelfReviews.com', '1008', 'Web Research', 'Lost Lead', '585-670-6109'),
('2053', '24317', 'Phillips', 'Acuserv', '11/4/21 00:03', 'DonaldBPhillips@fleckens.hu', 'Education', 'PollDaily.com', '1009', 'Advertisement', 'Attempted to Contact', '828-477-1700'),
('3309', '', 'Snyder', 'KG Menswear', '11/4/21 00:03', 'MarielleDSnyder@gustr.com', 'Financial Services', 'JudoBasics.com', '1002', 'Public Relations', 'Attempted to Contact', '262-348-2072'),
('2723', '24987', 'Robinson', 'Olson Electronics', '11/4/21 00:02', 'LouiseJRobinson@gustr.com', 'Service Provider', 'SocialQuarterly.com', '1011', 'Online Store', 'Contacted', '617-565-4608'),
('4600', '26864', 'Hardee', 'Magna Wealth', '10/4/21 00:02', 'TrentAHardee@rhyta.com', 'Service Provider', 'FallTube.com', '1009', 'External Referral', 'Junk Lead', '830-895-5533'),
('4596', '26860', 'Peeler', 'Architectural Genie', '10/4/21 00:02', 'LeslieBPeeler@jourrapide.com', 'Manufacturing', 'RentalFriend.com', '1011', 'Public Relations', 'Contacted', '618-272-0603'),
('4598', '26862', 'Lutes', 'Rex Audio Video Appliance', '10/4/21 00:02', 'KathleenDLutes@teleworm.us', 'Service Provider', 'CashCowGambling.com', '1008', 'Trade Show', 'Pre Qualified', '919-218-7915'),
('4602', '26866', 'Marshall', 'Sports Unlimited', '10/4/21 00:02', 'LoriGMarshall@jourrapide.com', 'IT Services', 'CleaningBlitz.com', '1011', 'Partner', 'Pre Qualified', '870-862-3148'),
('4603', '26867', 'Bryant', 'House Works', '10/4/21 00:02', 'CharlesMBryant@fleckens.hu', 'Manufacturing', 'BroadcastLocal.com', '1003', 'Web Research', 'Contact in Future', '410-986-2565'),
('3325', '25589', 'Russ', 'Food Giant', '10/4/21 00:02', 'CindyRRuss@fleckens.hu', 'Financial Services', 'StockBlocker.com', '1011', 'Public Relations', 'Contacted', '803-589-5046'),
('3326', '25590', 'Gutierrez', 'National Auto Parts', '10/4/21 00:02', 'AaronCGutierrez@superrito.com', 'Pharma', 'Hybridville.com', '1003', 'Public Relations', 'Junk Lead', '970-373-6835'),
('2058', '24322', 'Baumann', 'Total Yard Management', '10/4/21 00:02', 'RicardoSBaumann@cuvox.de', 'Consulting', 'FantasyCrime.com', '1006', 'Partner', 'Not Contacted', '973-709-1733'),
('2062', '24326', 'Johnson', 'First Rate Choice', '10/4/21 00:02', 'WilmaJJohnson@jourrapide.com', 'Government/Military', 'DelawareInsuranceAgents.com', '1004', 'Employee Referral', 'Attempted to Contact', '361-583-0044'),
('2070', '24334', 'Maldonado', 'Total Yard Management', '10/4/21 00:02', 'RosieAMaldonado@cuvox.de', 'Communications', 'BloggingSocial.com', '1010', 'Partner', 'Junk Lead', '212-996-0934'),
('2073', '24337', 'Snyder', 'Montana\'s Cookhouse', '10/4/21 00:02', 'FrancesRSnyder@gustr.com', 'Communications', 'RadioActor.com', '1011', 'Partner', 'Contact in Future', '201-758-8823'),
('4588', '26852', 'Anderson', 'Finast', '10/4/21 00:02', 'WallaceDAnderson@jourrapide.com', 'Consulting', 'WildBoutique.com', '1005', 'Advertisement', 'Not Contacted', '509-374-0126'),
('4589', '', 'Bassett', 'Big A Auto Parts', '10/4/21 00:02', 'JacobRBassett@rhyta.com', 'IT Services', 'MilwaukeeEstate.com', '1006', 'Sales Mail Alias', 'Pre Qualified', '701-644-9043'),
('4590', '26854', 'Miller', 'Rack N Sack', '10/4/21 00:02', 'DorisTMiller@jourrapide.com', 'Financial Services', 'TicketScanners.com', '1010', 'Partner', 'Contacted', '920-470-2414'),
('4591', '26855', 'Partin', 'Computer City', '10/4/21 00:02', 'MarcoNPartin@armyspy.com', 'Government/Military', 'OpenProtection.com', '1004', 'Online Store', 'Junk Lead', '262-714-9199'),
('4592', '26856', 'Erickson', 'Electronics Source', '10/4/21 00:02', 'StephenAErickson@rhyta.com', 'Technology', 'MotivationalCourses.com', '1001', 'Trade Show', 'Attempted to Contact', '775-317-3826'),
('4593', '26857', 'Abbott', 'Handy City', '10/4/21 00:02', 'AshleyVAbbott@cuvox.de', 'Education', 'BostonInteriorDecorators.com', '1003', 'Trade Show', 'Pre Qualified', '574-298-7888'),
('3312', '', 'Hill', 'Standard Brands Paint Company', '9/4/21 00:03', 'MichaelVHill@superrito.com', 'Consulting', 'BloggerGame.com', '1005', 'Employee Referral', 'Lost Lead', '704-728-0309'),
('2734', '24998', 'Sims', 'Star Interior Design', '9/4/21 00:02', 'MargaretJSims@fleckens.hu', 'Service Provider', 'StreamSeat.com', '1006', 'Sales Mail Alias', 'Attempted to Contact', '650-572-8321'),
('2089', '', 'Weller', 'Paul Harris', '8/4/21 00:02', 'JeffreyMWeller@teleworm.us', 'Technology', 'DesMoinesRentalCars.com', '1008', 'External Referral', 'Junk Lead', '707-797-6382'),
('4623', '26887', 'Greene', 'Prospa-Pal', '8/4/21 00:02', 'AnitaMGreene@armyspy.com', 'Consulting', 'DealerOdds.com', '1003', 'Trade Show', 'Contacted', '210-566-7599'),
('3344', '25608', 'Palmer', 'Accord Investments', '8/4/21 00:02', 'NancyTPalmer@dayrep.com', 'Education', 'InsuranceBlogging.com', '1010', 'Advertisement', 'Contacted', '513-209-2116'),
('4624', '26888', 'Pedersen', 'Best Products', '8/4/21 00:02', 'DiannaVPedersen@rhyta.com', 'IT Services', 'SimplyComics.com', '1007', 'Trade Show', 'Not Contacted', '717-320-3368'),
('3354', '25618', 'Moody', 'Chargepal', '8/4/21 00:02', 'KristenRMoody@gustr.com', 'Service Provider', 'GeoSpecials.com', '1001', 'Advertisement', 'Junk Lead', '760-424-6595'),
('3358', '25622', 'Reid', 'Profitpros', '8/4/21 00:02', 'AndrewGReid@teleworm.us', 'Communications', 'Dolls101.com', '1005', 'External Referral', 'Contacted', '605-720-3467'),
('2079', '24343', 'Hurd', 'EnviroSource Design', '8/4/21 00:02', 'NancyJHurd@teleworm.us', 'Communications', 'AppDealers.com', '1008', 'Sales Mail Alias', 'Contacted', '816-309-1204'),
('4605', '26869', 'Perkins', 'The High Heelers', '8/4/21 00:02', 'GroverSPerkins@cuvox.de', 'Education', 'VendingPrograms.com', '1006', 'Cold Call', 'Contacted', '240-304-2164'),
('4606', '26870', 'King', 'Jacob Reed and Sons', '8/4/21 00:02', 'BettyAKing@armyspy.com', 'Consulting', 'GreatTheaters.com', '1008', 'Cold Call', 'Not Contacted', '256-239-5364'),
('4608', '26872', 'Wagner', 'Sampson\'s', '8/4/21 00:02', 'NormaIWagner@superrito.com', 'Technology', 'PodTrade.com', '1002', 'Partner', 'Contact in Future', '402-530-6007'),
('4609', '26873', 'Deloach', 'CSK Auto', '8/4/21 00:02', 'DenniseJDeloach@cuvox.de', 'Government/Military', 'SiliconFinder.com', '1010', 'Cold Call', 'Contacted', '512-948-4447'),
('4612', '26876', 'Gonzales', 'Miller & Rhoads', '8/4/21 00:02', 'AnitaRGonzales@dayrep.com', 'Technology', 'SongsTitle.com', '1011', 'Public Relations', 'Contact in Future', '412-319-7428'),
('4614', '', 'Sommerfield', 'Cuppy\'s Coffee', '8/4/21 00:02', 'TaunyaASommerfield@jourrapide.com', 'Education', 'SiteFlippin.com', '1005', 'Trade Show', 'Contacted', '901-726-6214'),
('4615', '26879', 'Cronin', 'Kinney Shoes', '8/4/21 00:02', 'DavidJCronin@rhyta.com', 'Communications', 'ScannerFone.com', '1002', 'Online Store', 'Not Contacted', '406-266-0485'),
('4616', '26880', 'Hall', 'Big A Auto Parts', '8/4/21 00:02', 'CorneliusSHall@einrot.com', 'Consulting', 'PoweredPoint.com', '1002', 'Advertisement', 'Pre Qualified', '973-319-3131'),
('4617', '26881', 'Putnam', 'Road Runner Lawn Services', '8/4/21 00:02', 'LisaAPutnam@rhyta.com', 'IT Services', 'LiteMeal.com', '1011', 'Web Research', 'Contact in Future', '563-359-5182'),
('4619', '', 'Turner', 'Sam Goody', '8/4/21 00:02', 'IsmaelSTurner@rhyta.com', 'Service Provider', 'BowlTeams.com', '1010', 'Advertisement', 'Junk Lead', '618-915-8619'),
('4620', '26884', 'Ford', 'John F. Lawhon', '8/4/21 00:02', 'JeffreyEFord@armyspy.com', 'Financial Services', 'EclipseTool.com', '1009', 'Partner', 'Pre Qualified', '212-210-4268'),
('4622', '26886', 'Mack', 'Infinity Investment Plan', '8/4/21 00:02', 'JohnDMack@gustr.com', 'Communications', 'AlbertaChiropractors.com', '1002', 'Sales Mail Alias', 'Lost Lead', '917-610-6180'),
('3311', '25575', 'Clark', 'HouseWorks!', '7/4/21 00:03', 'JonathanSClark@fleckens.hu', 'Government/Military', 'FineKeywords.com', '1011', 'External Referral', 'Contact in Future', '937-327-4640'),
('3307', '25571', 'Pineda', 'Morrie Mages', '7/4/21 00:03', 'PaulJPineda@rhyta.com', 'Pharma', 'DesMoinesHandyman.com', '1004', 'Online Store', 'Contacted', '850-851-7420'),
('3322', '', 'McBride', 'White Hen Pantry', '7/4/21 00:03', 'JerryGMcBride@gustr.com', 'Pharma', 'FileWipes.com', '1006', 'Cold Call', 'Contacted', '270-913-7048'),
('3980', '26244', 'Gates', 'Rogers Peet', '7/4/21 00:02', 'MariaWGates@gustr.com', 'Communications', 'GrassSale.com', '1007', 'Sales Mail Alias', 'Attempted to Contact', '309-797-9029'),
('2731', '24995', 'Kappler', 'Magna Solution', '7/4/21 00:02', 'DavidPKappler@armyspy.com', 'IT Services', 'PriceFusion.com', '1001', 'Employee Referral', 'Contact in Future', '240-234-2566'),
('2739', '25003', 'Watson', 'A+ Investments', '7/4/21 00:02', 'StephenAWatson@superrito.com', 'Communications', 'PunkExpo.com', '1002', 'Web Research', 'Pre Qualified', '612-824-8516'),
('3324', '25588', 'Johnson', 'Brendle\'s', '5/4/21 00:02', 'ZolaPJohnson@jourrapide.com', 'Pharma', 'MarriedConfessions.com', '1008', 'Cold Call', 'Pre Qualified', '828-355-6720'),
('4003', '26267', 'Parry', 'Manu Connection', '4/4/21 00:02', 'CharlesDParry@fleckens.hu', 'Education', 'VoIPOnDemand.com', '1001', 'Trade Show', 'Not Contacted', '203-854-6253'),
('3343', '25607', 'Robertson', 'Cuppy\'s Coffee', '1/4/21 00:02', 'RoseARobertson@gustr.com', 'IT Services', 'ScratchBlog.com', '1001', 'Trade Show', 'Contact in Future', '618-663-2131'),
('2048', '24312', 'Gibson', 'Gamma Realty', '1/4/21 00:01', 'RobertMGibson@teleworm.us', 'Communications', 'PurplePic.com', '1006', 'Advertisement', 'Contacted', '813-716-1769'),
('3305', '', 'Rose', 'Rainbow Bay Crafts', '30/3/21 00:03', 'DeeJRose@rhyta.com', 'Service Provider', 'IRCPoint.com', '1008', 'Public Relations', 'Pre Qualified', '217-575-5064'),
('3998', '26262', 'Johnson', 'LaBelle\'s', '30/3/21 00:02', 'KirkVJohnson@einrot.com', 'Manufacturing', 'RealtimeRank.com', '1010', 'Partner', 'Junk Lead', '757-825-3654'),
('3319', '25583', 'Ring', 'Hanover Shoe', '30/3/21 00:01', 'DorothyERing@gustr.com', 'Pharma', 'PlainLust.com', '1007', 'External Referral', 'Pre Qualified', '860-775-2707'),
('2096', '24360', 'Darley', 'Ole\'s', '29/3/21 00:01', 'EdwardADarley@armyspy.com', 'IT Services', 'NaturePreview.com', '1001', 'Sales Mail Alias', 'Contact in Future', '714-340-8579'),
('4628', '26892', 'Humphrey', 'Total Quality', '29/3/21 00:01', 'CarlosJHumphrey@cuvox.de', 'Pharma', 'MillionaireSeeker.com', '1001', 'Employee Referral', 'Junk Lead', '314-544-7194'),
('3362', '25626', 'Crouch', 'Sports Town USA', '29/3/21 00:01', 'CharlesBCrouch@teleworm.us', 'Manufacturing', 'OpenAdvertiser.com', '1006', 'Public Relations', 'Contacted', '612-875-3479'),
('4627', '', 'Kim', 'Rite Solution', '29/3/21 00:01', 'ChristopherCKim@superrito.com', 'Service Provider', 'PodInsider.com', '1003', 'Public Relations', 'Contacted', '303-926-4327'),
('4626', '26890', 'Yu', 'Crown Auto Parts', '29/3/21 00:01', 'LauraJYu@jourrapide.com', 'Service Provider', 'BotCredit.com', '1008', 'Partner', 'Contact in Future', '260-336-1895'),
('2038', '24302', 'Weeks', 'Sounds of Soul Records & Tapes', '28/3/21 00:01', 'MelindaRWeeks@einrot.com', 'Service Provider', 'PunkExpo.com', '1003', 'Public Relations', 'Lost Lead', '650-223-2878'),
('3991', '26255', 'Schumacher', 'Mars Music', '28/3/21 00:01', 'PennyDSchumacher@fleckens.hu', 'IT Services', 'LiveFundraising.com', '1004', 'Employee Referral', 'Contact in Future', '706-568-9651'),
('3340', '25604', 'Wallace', 'Dream Home Real Estate Service', '27/3/21 00:02', 'ElizabethJWallace@rhyta.com', 'Education', 'MiracleSpeed.com', '1002', 'Online Store', 'Contacted', '541-261-8538'),
('2056', '24320', 'Lathrop', 'John M. Smyth\'s Homemakers', '27/3/21 00:01', 'JacobGLathrop@einrot.com', 'Consulting', 'NetCamper.com', '1005', 'Public Relations', 'Lost Lead', '831-702-6434'),
('3986', '26250', 'Brown', 'Tee Town', '26/3/21 00:01', 'RhondaJBrown@rhyta.com', 'Manufacturing', 'FootballGreat.com', '1002', 'Cold Call', 'Pre Qualified', '714-826-7039'),
('2721', '', 'Arellano', 'Briazz', '25/3/21 00:01', 'KareemKArellano@dayrep.com', 'Education', 'MoviePins.com', '1005', 'Sales Mail Alias', 'Pre Qualified', '360-945-4546'),
('3369', '25633', 'Daniels', 'Henry\'s', '24/3/21 00:01', 'TheresaGDaniels@einrot.com', 'Communications', 'CashTravels.com', '1009', 'Web Research', 'Contact in Future', '314-387-6679'),
('3985', '26249', 'Spriggs', 'Gallenkamp', '24/3/21 00:01', 'GeorgeCSpriggs@superrito.com', 'Government/Military', 'RobotReader.com', '1007', 'Employee Referral', 'Not Contacted', '203-369-4788'),
('4630', '26894', 'Clarke', 'Locost Accessories', '24/3/21 00:01', 'ClydeAClarke@fleckens.hu', 'Communications', 'PressHeads.com', '1011', 'Cold Call', 'Lost Lead', '816-983-2139'),
('4631', '', 'Purnell', 'Golden\'s Distributors', '24/3/21 00:01', 'JennaDPurnell@dayrep.com', 'Financial Services', 'SitterSchedule.com', '1011', 'Trade Show', 'Contacted', '203-961-0638'),
('4633', '26897', 'Cardenas', 'Druther\'s', '24/3/21 00:01', 'ColinFCardenas@teleworm.us', 'Pharma', 'AssuranceAgents.com', '1006', 'Partner', 'Pre Qualified', '706-827-8404'),
('4634', '26898', 'Phelps', 'Knockout Kickboxing', '24/3/21 00:01', 'SamuelAPhelps@einrot.com', 'Manufacturing', 'ThemeApps.com', '1007', 'External Referral', 'Contact in Future', '775-421-9235'),
('4635', '26899', 'Lane', 'Custom Lawn Service', '24/3/21 00:01', 'JaneMLane@fleckens.hu', 'Communications', 'TotalBears.com', '1007', 'Trade Show', 'Contacted', '425-413-5108'),
('3365', '25629', 'Gomez', 'Corpbay', '24/3/21 00:01', 'ThelmaDGomez@jourrapide.com', 'Technology', 'MysteryFoods.com', '1005', 'Cold Call', 'Lost Lead', '231-747-9970'),
('2105', '24369', 'Ybarra', 'Tradewell', '24/3/21 00:01', 'ChrisGYbarra@fleckens.hu', 'IT Services', 'BlogCurrency.com', '1011', 'Trade Show', 'Contacted', '541-870-8043'),
('3355', '25619', 'Hughes', 'Pointers', '23/3/21 00:02', 'DouglassKHughes@superrito.com', 'Pharma', 'GripTrip.com', '1007', 'Online Store', 'Pre Qualified', '503-434-4756'),
('3337', '25601', 'Meadows', 'The Serendipity Dip', '23/3/21 00:02', 'EstherFMeadows@gustr.com', 'Communications', 'CelebrationTips.com', '1008', 'Sales Mail Alias', 'Pre Qualified', '215-884-0223'),
('4642', '26906', 'Rector', 'ManPower', '23/3/21 00:01', 'RoseJRector@fleckens.hu', 'Manufacturing', 'SwapPoker.com', '1003', 'Advertisement', 'Pre Qualified', '270-480-2976'),
('4640', '', 'Jensen', 'Pergament Home Centers', '23/3/21 00:01', 'RobertAJensen@teleworm.us', 'Technology', 'TreeYard.com', '1008', 'External Referral', 'Contacted', '252-583-8909'),
('4639', '26903', 'Haygood', 'Audio Aid', '23/3/21 00:01', 'NatalieMHaygood@armyspy.com', 'Service Provider', 'DownloadJobs.com', '1005', 'Web Research', 'Contact in Future', '281-548-2300'),
('4637', '26901', 'Tedford', 'Chargepal', '23/3/21 00:01', 'CharlesFTedford@gustr.com', 'Financial Services', 'AboutHD.com', '1009', 'Online Store', 'Attempted to Contact', '904-810-5840'),
('4644', '26908', 'Gregory', 'Susie\'s Casuals', '23/3/21 00:01', 'TerryLGregory@einrot.com', 'Education', 'CivicHelp.com', '1001', 'Trade Show', 'Contacted', '323-953-9666'),
('3999', '26263', 'Minor', 'Modern Realty', '23/3/21 00:01', 'RichardPMinor@armyspy.com', 'Financial Services', 'ChessVoice.com', '1011', 'Advertisement', 'Attempted to Contact', '309-649-2803'),
('4638', '26902', 'Ventura', 'Your Choices', '23/3/21 00:01', 'HenryBVentura@cuvox.de', 'Communications', 'NewMexicoInsuranceAgents.com', '1007', 'Advertisement', 'Pre Qualified', '563-405-7138'),
('3374', '25638', 'Loera', 'Strength Gurus', '23/3/21 00:01', 'KatrinaJLoera@fleckens.hu', 'Service Provider', 'AutoLanguage.com', '1007', 'Sales Mail Alias', 'Contact in Future', '412-805-0607'),
('3377', '', 'Waller', 'HouseWorks!', '23/3/21 00:01', 'LawrenceJWaller@gustr.com', 'Manufacturing', 'TechnologyNewspaper.com', '1003', 'Advertisement', 'Pre Qualified', '503-646-7894'),
('2715', '24979', 'Leary', 'Payless Cashways', '21/3/21 00:02', 'MarcusHLeary@einrot.com', 'Communications', 'RecruiterMonthly.com', '1002', 'Web Research', 'Attempted to Contact', '707-996-9974'),
('3315', '25579', 'Bain', 'Chase Pitkin', '20/3/21 00:01', 'EdwardEBain@fleckens.hu', 'Financial Services', 'PrepaidPayroll.com', '1011', 'Web Research', 'Contact in Future', '270-452-2348'),
('3359', '25623', 'Sawyer', 'Delchamps', '18/3/21 00:02', 'AaronCSawyer@gustr.com', 'Manufacturing', 'SuperbApps.com', '1001', 'Partner', 'Not Contacted', '559-223-6371'),
('3352', '25616', 'Cruz', 'Saturday Matinee', '18/3/21 00:02', 'ChristopherLCruz@teleworm.us', 'Education', 'TwinGame.com', '1001', 'Cold Call', 'Contact in Future', '630-483-3325'),
('3303', '25567', 'Sorensen', 'Powerbod', '17/3/21 00:01', 'FredrickESorensen@fleckens.hu', 'Government/Military', 'FirmPolicy.com', '1004', 'Web Research', 'Lost Lead', '413-588-3583'),
('2040', '24304', 'Yetter', 'Wag\'s', '17/3/21 00:01', 'JohnnyJYetter@einrot.com', 'Pharma', 'DemolitionRemoval.com', '1011', 'Trade Show', 'Pre Qualified', '336-896-0646'),
('4000', '26264', 'Jones', 'Fedco', '17/3/21 00:01', 'WandaRJones@einrot.com', 'Consulting', 'WithoutWireless.com', '1006', 'Sales Mail Alias', 'Contact in Future', '240-350-4481'),
('3984', '26248', 'Gutierrez', 'Indiewealth', '17/3/21 00:01', 'TaraJGutierrez@rhyta.com', 'Communications', 'PokerProtocol.com', '1011', 'Employee Referral', 'Contacted', '513-349-4332'),
('3366', '25630', 'McGee', 'Chargepal', '16/3/21 00:01', 'EmmaJMcGee@superrito.com', 'Government/Military', 'CardTribute.com', '1010', 'Sales Mail Alias', 'Contacted', '614-241-4602'),
('2035', '', 'Marrero', 'Adaptas', '16/3/21 00:01', 'AmberBMarrero@gustr.com', 'Financial Services', 'PlumbingDesigners.com', '1006', 'Employee Referral', 'Attempted to Contact', '503-804-3813'),
('2066', '', 'Ellsworth', 'On Cue', '15/3/21 00:02', 'AleishaPEllsworth@einrot.com', 'Communications', 'ParisBasketball.com', '1011', 'Partner', 'Contacted', '513-736-4543'),
('4255', '26519', 'Culpepper', 'Wealth Zone Group', '15/3/21 00:01', 'GregoryHCulpepper@armyspy.com', 'Service Provider', 'DictionarySearches.com', '1004', 'Employee Referral', 'Not Contacted', '423-335-7433'),
('3316', '', 'Wallace', 'Magna Architectural Design', '15/3/21 00:01', 'JoseDWallace@gustr.com', 'Consulting', 'FetchFilms.com', '1007', 'Web Research', 'Contacted', '214-200-0079'),
('2974', '', 'Ivey', 'Integra Wealth Planners', '15/3/21 00:01', 'KateCIvey@einrot.com', 'Manufacturing', 'VWarning.com', '1005', 'Public Relations', 'Contact in Future', '678-875-5917'),
('2976', '25240', 'Otten', 'Childrens Bargain Town', '15/3/21 00:01', 'CeciliaCOtten@dayrep.com', 'Financial Services', 'DiscountCommunities.com', '1010', 'Advertisement', 'Attempted to Contact', '317-804-8010'),
('4257', '26521', 'Rivenbark', 'Henry\'s Hamburgers', '15/3/21 00:01', 'MichaelJRivenbark@einrot.com', 'Financial Services', 'GolfingMania.com', '1010', 'Online Store', 'Contact in Future', '443-822-3334'),
('2982', '25246', 'Arias', 'Laura Ashley Mother & Child', '15/3/21 00:01', 'MartinSArias@teleworm.us', 'Education', 'InsuranceBlogging.com', '1002', 'Partner', 'Pre Qualified', '716-951-6533'),
('2988', '', 'Heath', 'Shoe Pavilion', '15/3/21 00:01', 'DennisJHeath@superrito.com', 'IT Services', 'RetroFlavor.com', '1003', 'Sales Mail Alias', 'Lost Lead', '520-566-4424'),
('1709', '23973', 'Smith', 'Eagle Hardware & Garden', '15/3/21 00:01', 'DarrellBSmith@superrito.com', 'Government/Military', 'CheapExpense.com', '1003', 'Web Research', 'Contact in Future', '602-997-1843'),
('4796', '27060', 'Vankirk', 'Body Fate', '15/3/21 00:01', 'RodneyBVankirk@armyspy.com', 'Pharma', 'PoliticalRewards.com', '1011', 'Online Store', 'Contact in Future', '805-581-2111'),
